Book Title,Original Price,Discount Price,Discount Percentage,Product Ratings,Reviews
As a Man Thinketh (மனிதனின் எண்ணங்கள்),₹149,₹175,14% off,4.1,(62)
The Psychology of the Esoteric,₹170,₹200,15% off,4.6,(38)
Manovigyan (Psychology) Class 11  - Strictly according ...,₹270,₹300,10% off,4,(14)
Psychology Behind Horror Movies,₹99,N/A,N/A,4.8,(4)
75 Ways to Positive Outlook,₹200,₹250,20% off,4,(3)
Jeet Ya Haar Raho Tayaar,₹250,N/A,N/A,4.3,(77)
Think and Grow Rich,₹205,₹214,4% off,4.5,"(72,752)"
Will,₹291,₹799,63% off,4.6,(333)
The Master Key to Riches,₹176,₹195,9% off,N/A,N/A
The Story of My life,₹176,₹195,9% off,4.4,"(2,716)"
Chanakya Neeti,₹272,₹345,21% off,3.9,(90)
Adult Children of Emotionally Immature Parents,₹390,"₹1,999",80% off,4.4,(8)
The Power of Your Subconscious Mind (Telugu),₹191,₹201,4% off,4.4,"(1,063)"
As a Man Thinketh & Out from the Heart in Hindi (मनुष्य...,₹128,₹150,14% off,4,(155)
Abnormal Psychology Eighth Edition,₹809,N/A,N/A,4.1,(11)
Self-love,₹150,N/A,N/A,4,(6)
Abnormal Psychology : Clinical Perspectives on Psycholo...,₹779,₹835,6% off,4.8,(13)
How to Stop Worrying and Start Living  - The First and ...,₹134,₹195,31% off,4.3,"(1,056)"
The Psychology Of Money - Hindi Edition (Dhan -Sampatti...,₹295,₹298,1% off,4.1,(375)
The First Minute,₹227,"₹2,122",89% off,4.2,(36)
"The Greatness Guide 1st Edition, 2006 Edition",₹276,₹325,15% off,4.5,(811)
Irade Hon to Aise,₹240,₹300,20% off,4.3,(174)
Miracles of Your Mind,₹106,₹150,29% off,4.3,"(1,835)"
Mind Games : The Dual Facets Of Manipulation And Dark P...,₹199,₹300,33% off,N/A,N/A
Atomic Habits {2015} English Paperback,₹299,₹499,40% off,4.3,(269)
The Little Book of Hygge,₹569,₹599,5% off,4.5,(307)
Organisational Psychology,₹153,₹170,10% off,4.7,(3)
Emotional Manipulation,₹150,N/A,N/A,4.4,(14)
PSYCHOLOGY,₹100,N/A,N/A,4.4,(8)
David and Goliath,₹449,₹599,25% off,4.5,(289)
How to Get Success as a Teenager,₹160,N/A,N/A,4.2,(43)
How to Develop Self Confidence and Improve Public Speak...,₹339,₹445,23% off,4.2,(53)
Think and Grow Rich (Marathi),₹191,₹199,4% off,4,(56)
How To Stop Worrying And Start Living,₹750,₹855,12% off,4.5,"(10,296)"
Kya Aap Aamir Banana Chahate Hai,₹128,₹150,14% off,4.9,(7)
Haan Tum Ek Vijeta Ho 1 Edition,₹208,₹250,16% off,4.4,(98)
Mitra Joda Ani Lonkanvar Prabhav Pada  - The First and ...,₹199,₹210,5% off,4.5,(191)
Samvaad Safalta ki Kunji (संवाद सफलता की कुंजी),₹128,₹150,14% off,4.4,(24)
Think Like a Freak,₹435,₹599,27% off,4.2,(111)
Psychology 1 Edition,₹180,₹200,10% off,4.9,(8)
The PSYCHOLOGICAL effect of COLORS in our life,₹200,N/A,N/A,N/A,N/A
Exploring Social Psychology |,₹599,N/A,N/A,4.4,(10)
Psycho-Cybernetics (Updated and Expanded),₹384,"₹1,681",77% off,4.6,(29)
Feel The Fear And Do It Anyway,₹434,₹499,13% off,4.4,(322)
Get Epic Shit Done,₹361,₹399,9% off,4.7,(3)
The Master Key System,₹298,₹350,14% off,4.4,(42)
Jeet Ya Haar Raho Tayaar,₹225,N/A,N/A,3.8,(19)
"55 Questions to Ask Yourself, Across 8 Dimensions for a...",₹247,₹249,N/A,4.4,(195)
The Power Of Your Subconscious Mind (revised),₹195,N/A,N/A,4.4,"(2,406)"
How to Own Your Own Mind,₹255,₹299,14% off,4.3,(82)
Think Like A Monk (Tamil),₹399,₹499,20% off,4.6,(60)
Win Every Argument,₹699,"₹2,336",70% off,4.2,(10)
Social Psychology,₹200,N/A,N/A,3.9,(7)
"MPC-001: Cognitive Psychology, Learning and Memory (IGN...",₹212,₹350,39% off,N/A,N/A
MPC-004: Advanced Social Psychology (IGNOU Study Guide ...,₹220,₹350,37% off,N/A,N/A
The Power of Your Subconscious Mind�(Malayalam),₹203,₹229,11% off,5,(5)
The Power of Subconscious Mind (Marathi),₹191,₹199,4% off,4,(51)
"The psychology of money  - Paperback, Morgan housel boo...",₹299,₹398,24% off,4.5,"(17,008)"
Phychology Of Money Book Rich Dad,₹299,₹891,66% off,4.2,"(9,024)"
Leadership Ki Udaan (??????? ?? ?????),₹143,₹175,18% off,4.4,(312)
Mastery,₹430,"₹2,189",80% off,4.4,(788)
Unwinding Anxiety,₹585,₹699,16% off,4.3,(13)
Irade Hon to Aise,₹118,₹275,57% off,4.3,(174)
The Power of Your Subconscious Mind,₹306,₹395,22% off,4.5,"(1,632)"
The Psychology Of Money - Hindi Edition (Dhan -Sampatti...,₹295,₹298,1% off,4.1,(375)
Introduction to Psychology Schaum's Outline,₹579,₹750,22% off,3.3,(3)
Educart CBSE Class 12 PSYCHOLOGY Sample Paper 2022 (Wit...,₹220,₹249,11% off,3.9,(21)
Mind Games : The Dual Facets Of Manipulation And Dark P...,₹199,₹300,33% off,N/A,N/A
